tecexample.com,NS,ns1.hostingexample.com:ns2.hostingexample.com
tecexample.com,MX,mail.tecexample.com
cloudsrv.net,NS,ns1.cloudprovider.com:ns2.cloudprovider.com
cloudsrv.net,MX,smtp.cloudsrv.net:smtp2.cloudsrv.net
mywebsite.org,NS,ns1.webhost.org:ns2.webhost.org
mywebsite.org,MX,mail.mywebsite.org
mywebsite.org,A,server01.mywebsite.org,192.168.40.1
mywebsite.org,A,server02.mywebsite.org,192.168.40.2
mywebsite.org,A,mail.mywebsite.org,192.168.40.3
mywebsite.org,PTR,192.168.40.1,server01.mywebsite.org
mywebsite.org,PTR,192.168.40.2,server02.mywebsite.org
mywebsite.org,AAAA,server01.mywebsite.org,fe80::d503:4ee:3882:6dba
mywebsite.org,A,www.mywebsite.org,192.168.40.10
mywebsite.org,CNAME,docs.mywebsite.org,www.mywebsite.org
innovatech.io,NS,ns1.innovationhost.io:ns2.innovationhost.io
innovatech.io,MX,mail.innovatech.io:smtp.innovatech.io
innovatech.io,A,api.innovatech.io,10.10.10.2
innovatech.io,PTR,10.10.10.1,api.innovatech.io
innovatech.io,CNAME,cloud.innovatech.io,api.innovatech.io
